millis, steerRef, sensorValue,  accel
15937,  128,    91, 100
15959,  128,    87, 100
15981,  128,    84, 100
16003,  128,    86, 100
16025,  128,    91, 100
16047,  128,    95, 100
16068,  128,    96, 100
16090,  128,    97, 100
16112,  128,    98, 100
16134,  128,    97, 100
16155,  128,    97, 100
16178,  165,    89, 100
16199,  165,    85, 100
16222,  165,    84, 100
16243,  165,    88, 100
16265,  194,    92, 100
16286,  194,    95, 100
16309,  194,    96, 100
16330,  194,    97, 100
16353,  201,    97, 100
16374,  201,    97, 100
16396,  201,    92, 100
16417,  201,    87, 100
16440,  215,    84, 100
16461,  215,    85, 100
16484,  215,    90, 100
16504,  215,    93, 100
16527,  225,    96, 100
16548,  225,    96, 100
16571,  225,    97, 100
16592,  225,    97, 100
16614,  225,    96, 100
16636,  225,    91, 100
16658,  225,    86, 100
16679,  225,    83, 100
16701,  225,    86, 100
16723,  195,    91, 100
16745,  195,    95, 100
16768,  195,    96, 100
16789,  195,    96, 100
16811,  157,    97, 100
16832,  157,    97, 100
16855,  157,    93, 100
16876,  157,    89, 100
16899,  128,    84, 100
16920,  128,    84, 100
16942,  128,    89, 100
16964,  128,    92, 100
16986,  128,    95, 100
17007,  128,    96, 100
17030,  128,    97, 100
17051,  128,    97, 100
17074,  128,    97, 100
17094,  128,    93, 100
17117,  128,    86, 100
17138,  128,    84, 100
17161,  128,    86, 100
17182,  128,    90, 100
17204,  128,    95, 100
17225,  128,    95, 100
17248,  81, 96, 100
17268,  81, 96, 100
17289,  81, 97, 100
17310,  81, 97, 100
17331,  81, 97, 100
17352,  46, 97, 100
17373,  46, 97, 100
17393,  46, 95, 100
17414,  46, 95, 100
17435,  21, 90, 100
17456,  21, 88, 100
17476,  21, 86, 100
17498,  21, 85, 100
17518,  0,  84, 100
17538,  0,  84, 100
17557,  0,  84, 100
17577,  0,  84, 100
17597,  0,  85, 100
17617,  0,  84, 100
17636,  0,  85, 100
17656,  0,  85, 100
17676,  0,  86, 100
17696,  0,  86, 100
17716,  0,  87, 100
17735,  0,  87, 100
17756,  0,  86, 100
17775,  0,  89, 100
17795,  0,  88, 100
17814,  0,  90, 100
17835,  0,  89, 100
17854,  0,  91, 100
17873,  0,  92, 100
17894,  0,  92, 100
17913,  0,  94, 100
17933,  0,  93, 100
17952,  0,  95, 100
17973,  0,  94, 100
17992,  0,  96, 100
18012,  0,  97, 100
18032,  0,  96, 93
18051,  0,  98, 93
18069,  128,    98, 93
18091,  128,    98, 93
18111,  128,    97, 0
18130,  128,    97, 0
18151,  128,    97, 0
18170,  128,    97, 0
18190,  128,    97, 0
18209,  128,    97, 0
18229,  128,    98, 0
18249,  128,    97, 0
18269,  128,    98, 0
18289,  128,    97, 0
18309,  128,    97, 0
18328,  128,    97, 0
18349,  128,    97, 0
18367,  128,    97, 0
18387,  128,    96, 0
18407,  128,    97, 0
18427,  128,    97, 0
18447,  128,    96, 0
18466,  128,    97, 0
18486,  128,    96, 0
18506,  128,    96, 0
18526,  128,    96, 0
18545,  128,    97, 0
18566,  128,    96, 0
18585,  128,    96, 0
18605,  128,    96, 0
18624,  128,    96, 0
18644,  128,    96, 0
18664,  128,    96, 0
18683,  128,    95, 0
18704,  128,    95, 0
18723,  128,    96, 0
18743,  128,    96, 0
18762,  128,    95, 0
18783,  128,    95, 0
18802,  128,    95, 0
18822,  128,    95, 0
18842,  128,    95, 0
18862,  128,    95, 0
18882,  128,    95, 0
18902,  128,    95, 0
18921,  128,    95, 6
18940,  128,    94, 6
18961,  128,    95, 6
18980,  128,    93, 6
19000,  128,    92, 6
19020,  128,    93, 10
19041,  128,    95, 10
19061,  128,    95, 10
19082,  128,    96, 10
19103,  128,    95, 13
19124,  128,    96, 13
19144,  128,    96, 13
19165,  128,    97, 13
19186,  128,    97, 16
19207,  128,    98, 16
19228,  128,    97, 16
19249,  128,    97, 16
19269,  128,    96, 16
19291,  128,    94, 22
19311,  128,    92, 22
19333,  128,    87, 22
19352,  128,    86, 22
19374,  128,    84, 25
19394,  128,    83, 25
19416,  128,    84, 25
19436,  128,    85, 25
19457,  128,    87, 28
19477,  128,    89, 28
19499,  128,    91, 28
19519,  128,    92, 28
19540,  128,    95, 29
19560,  128,    95, 29
19581,  128,    95, 29
19602,  128,    96, 29
19623,  128,    97, 33
19644,  128,    96, 33
19664,  128,    97, 33
19686,  128,    97, 33
19706,  128,    97, 33
19727,  128,    98, 46
19747,  128,    97, 46
19769,  128,    95, 46
19789,  128,    94, 46
19811,  128,    90, 50
19830,  128,    89, 50
19852,  128,    85, 50
19872,  128,    84, 50
19894,  128,    83, 57
19914,  128,    83, 57
19935,  128,    85, 57
19956,  128,    89, 57
19977,  128,    89, 57
19997,  128,    91, 60
20018,  128,    92, 60
20039,  98, 95, 60
20059,  98, 95, 60
20079,  98, 95, 63
20098,  98, 94, 63
20118,  52, 94, 63
20137,  52, 92, 63
20158,  52, 93, 64
20177,  52, 92, 64
20197,  0,  91, 64
20215,  0,  88, 64
20235,  0,  85, 64
20253,  0,  84, 64
20272,  0,  85, 64
20291,  0,  86, 64
20310,  0,  90, 64
20328,  0,  95, 64
20347,  0,  97, 64
20365,  0,  98, 64
20384,  0,  98, 64
20403,  0,  97, 64
20422,  0,  96, 64
20441,  0,  96, 64
20459,  0,  96, 64
20477,  0,  95, 64
20496,  0,  92, 64
20515,  0,  90, 64
20534,  0,  86, 64
20552,  0,  84, 64
20572,  0,  84, 64
20590,  0,  86, 64
20610,  0,  89, 64
20628,  0,  93, 64
20646,  0,  97, 64
20665,  6,  98, 64
20683,  6,  98, 64
20703,  6,  97, 64
20721,  6,  97, 64
20741,  128,    97, 64
20760,  128,    96, 64
20782,  128,    97, 64
20802,  128,    97, 64
20823,  128,    97, 64
20844,  128,    97, 64
20865,  128,    97, 64
20886,  128,    97, 68
20907,  128,    97, 68
20927,  128,    92, 68
20947,  128,    89, 68
20969,  128,    86, 79
20989,  128,    86, 79
21011,  128,    84, 79
21030,  128,    83, 79
21052,  128,    85, 94
21072,  128,    85, 94
21093,  128,    87, 94
21114,  130,    90, 94
21135,  130,    91, 94
21156,  130,    95, 100
21178,  130,    96, 100
21199,  185,    97, 100
21221,  185,    97, 100
21243,  185,    97, 100
21265,  185,    97, 100
21287,  228,    90, 100
21309,  228,    86, 100
21330,  228,    83, 100
21352,  228,    86, 100
21374,  255,    91, 100
21396,  255,    95, 100
21419,  255,    95, 100
21440,  255,    96, 100
21462,  255,    97, 100
21484,  255,    97, 100
21506,  255,    94, 100
21527,  255,    88, 100
21550,  255,    84, 100
21571,  255,    84, 100
21594,  255,    89, 100
21614,  255,    91, 100
21637,  215,    95, 100
21658,  215,    96, 100
21681,  215,    96, 11
21701,  215,    97, 11
21722,  128,    97, 11
21742,  128,    97, 11
21764,  128,    97, 0
21783,  128,    97, 0
21803,  128,    98, 0
21823,  128,    97, 0
21842,  128,    97, 0
21862,  128,    97, 0
21881,  128,    97, 0
21902,  128,    98, 0
21921,  128,    97, 0
21942,  128,    97, 0
21960,  128,    98, 0
21981,  128,    97, 0
22000,  78, 97, 0
22019,  78, 96, 0
22038,  78, 97, 0
22056,  78, 96, 0
22075,  0,  96, 0
22092,  0,  91, 0
22111,  0,  86, 0
22128,  0,  83, 0
22146,  0,  88, 0
22164,  0,  96, 0
22181,  0,  98, 0
22199,  0,  97, 0
22217,  0,  96, 0
22235,  0,  95, 0
22252,  0,  91, 0
22269,  0,  85, 0
22287,  0,  85, 0
22305,  0,  89, 0
22323,  0,  97, 0
22340,  0,  98, 0
22359,  128,    98, 0
22378,  128,    97, 0
22397,  128,    97, 0
22417,  128,    96, 0
22437,  128,    96, 0
22457,  128,    96, 0
22476,  128,    97, 0
22497,  128,    96, 0
22516,  128,    96, 0
22536,  128,    97, 0
22555,  128,    96, 0
22576,  128,    96, 0
22595,  128,    96, 0
22616,  128,    96, 0
22635,  128,    95, 0
22654,  128,    96, 0
22675,  128,    95, 0
22693,  128,    95, 0
22714,  128,    95, 0
22733,  128,    95, 0
22754,  128,    95, 0
22773,  128,    95, 0
22793,  128,    95, 0
22813,  128,    95, 0
22833,  128,    95, 0
22852,  128,    95, 21
22873,  128,    95, 21
22894,  128,    95, 21
22915,  128,    96, 21
22936,  128,    97, 50
22956,  128,    96, 50
22977,  128,    97, 50
22998,  128,    97, 50
23019,  128,    97, 71
23040,  128,    98, 71
23060,  128,    98, 71
23081,  140,    96, 71
23102,  140,    96, 71
23122,  140,    92, 82
23143,  140,    89, 82
23164,  149,    87, 82
23185,  149,    86, 82
23206,  149,    84, 83
23226,  149,    83, 83
23247,  153,    85, 83
23268,  153,    86, 83
23289,  153,    89, 29
23310,  153,    89, 29
23330,  135,    92, 29
23352,  135,    95, 29
23372,  135,    96, 0
23392,  135,    95, 0
23412,  128,    95, 0
23432,  128,    95, 0
23451,  128,    92, 0
23472,  128,    95, 3
23490,  128,    92, 3
23511,  128,    92, 3
23530,  128,    91, 3
23550,  128,    91, 77
23571,  128,    93, 77
23592,  176,    95, 77
23612,  176,    95, 77
23633,  176,    96, 77
23654,  176,    96, 94
23674,  176,    96, 94
23696,  228,    97, 94
23716,  228,    97, 94
23738,  228,    97, 100
23758,  228,    97, 100
23781,  235,    93, 100
23802,  235,    87, 100
23825,  235,    83, 100
23846,  235,    84, 100
23868,  226,    89, 100
23889,  226,    93, 100
23912,  226,    95, 17
23932,  226,    96, 17
23954,  184,    96, 17
23974,  184,    96, 17
23995,  184,    97, 0
24015,  184,    97, 0
24035,  183,    97, 0
24054,  183,    97, 0
24074,  183,    96, 0
24094,  183,    96, 0
24114,  183,    96, 0
24134,  215,    96, 0
24153,  215,    96, 0
24173,  215,    96, 0
24193,  215,    96, 0
24212,  215,    96, 0
24232,  255,    96, 0
24252,  255,    96, 0
24272,  255,    96, 67
24292,  255,    96, 67
24313,  255,    97, 67
24334,  255,    97, 67
24355,  255,    97, 100
24377,  255,    98, 100
24398,  255,    96, 100
24420,  255,    91, 100
24442,  255,    85, 100
24464,  255,    84, 100
24486,  255,    88, 100
24508,  255,    91, 100
24529,  255,    95, 100
24551,  255,    96, 100
24573,  246,    97, 100
24595,  246,    97, 100
24617,  246,    97, 100
24639,  246,    95, 100
24660,  128,    87, 100
24683,  128,    84, 100
24705,  128,    85, 100
24726,  128,    89, 100
24749,  128,    94, 100
24770,  128,    95, 100
24793,  128,    96, 100
24813,  128,    97, 100
24836,  122,    98, 100
24857,  122,    97, 100
24880,  122,    91, 100
24901,  122,    86, 100
24923,  44, 84, 100
24943,  44, 84, 100
24965,  44, 85, 100
24985,  44, 88, 100
25006,  44, 90, 100
25027,  0,  90, 100
25047,  0,  90, 100
25066,  0,  91, 100
25085,  0,  90, 100
25106,  0,  90, 100
25125,  0,  90, 100
25145,  0,  89, 100
25165,  0,  90, 100
25185,  0,  87, 100
25204,  0,  88, 100
25224,  0,  86, 100
25244,  0,  88, 100
25264,  0,  86, 100
25283,  0,  85, 100
25304,  0,  86, 100
25323,  0,  85, 100
25344,  0,  86, 100
25363,  0,  84, 100
25382,  0,  84, 100
25402,  0,  84, 100
25422,  0,  84, 100
25442,  0,  84, 100
25461,  0,  84, 100
25482,  0,  84, 100
25501,  0,  84, 100
25521,  0,  84, 100
25540,  0,  85, 100
25561,  128,    85, 100
25582,  128,    84, 100
25605,  128,    89, 100
25626,  128,    91, 100
25648,  128,    95, 100
25669,  128,    96, 100
25692,  128,    97, 91
25712,  128,    97, 91
25733,  128,    97, 91
25754,  128,    97, 91
25775,  128,    98, 91
25796,  128,    96, 45
25816,  128,    96, 45
25837,  128,    92, 45
25858,  128,    90, 45
25879,  128,    86, 5
25899,  128,    87, 5
25918,  130,    87, 5
25937,  130,    89, 5
25958,  130,    89, 5
25977,  130,    89, 0
25997,  130,    91, 0
26017,  157,    90, 0
26037,  157,    92, 0
26056,  157,    92, 0
26076,  157,    94, 0
26096,  210,    93, 0
26116,  210,    95, 0
26136,  210,    94, 0
26155,  210,    96, 0
26175,  210,    96, 0
26194,  255,    96, 0
26214,  255,    97, 0
26234,  255,    97, 0
26254,  255,    97, 0
26274,  255,    97, 0
26294,  255,    98, 0
26313,  255,    97, 0
26333,  255,    98, 0
26352,  255,    98, 0
26373,  255,    98, 0
26392,  255,    98, 0
26413,  255,    98, 0
26432,  255,    97, 0
26451,  255,    98, 0
26471,  255,    97, 0
26491,  255,    97, 0
26511,  255,    97, 0
26530,  255,    97, 0
26551,  255,    97, 0
26570,  255,    97, 0
26590,  255,    97, 0
26610,  255,    97, 0
26630,  128,    97, 0
26649,  128,    97, 0
26669,  128,    97, 0
26689,  128,    96, 0
26708,  128,    96, 0
26729,  128,    97, 0
26747,  128,    96, 0
26768,  128,    96, 0
26787,  128,    96, 0
26808,  128,    96, 0
26827,  128,    96, 0
26847,  128,    96, 0
26867,  128,    96, 0
26886,  128,    96, 0
26906,  104,    96, 0
26926,  104,    95, 0
26946,  104,    95, 0
26966,  104,    96, 0
26985,  104,    95, 0
27005,  57, 95, 0
27024,  57, 94, 0
27042,  57, 91, 0
27061,  57, 88, 0
27080,  8,  86, 0
27098,  8,  84, 0
27115,  8,  90, 0
27133,  8,  96, 0
27150,  8,  98, 0
27168,  0,  97, 0
27186,  0,  96, 0
27203,  0,  95, 0
27222,  0,  90, 0
27239,  0,  84, 0
27256,  0,  86, 0
27274,  0,  92, 0
27292,  0,  97, 0
27310,  0,  98, 0
27327,  0,  97, 0
27345,  0,  96, 0
27363,  0,  94, 0
27380,  0,  88, 0
27399,  0,  85, 0
27415,  0,  87, 0
27433,  0,  92, 0
27451,  0,  98, 0
27468,  0,  98, 0
27487,  0,  96, 0
27504,  0,  96, 0
27522,  128,    92, 0
27541,  128,    91, 0
27561,  128,    91, 0
27581,  128,    92, 0
27600,  128,    90, 0
27621,  128,    91, 0
27640,  128,    89, 0
27660,  128,    89, 0
27679,  128,    88, 0
27700,  128,    88, 0
27719,  128,    88, 0
27739,  128,    87, 0
27759,  128,    87, 0
27779,  128,    86, 0
27798,  128,    86, 0
27817,  128,    85, 0
27838,  128,    85, 25
27858,  128,    87, 25
27880,  163,    90, 25
27900,  163,    91, 25
27921,  163,    93, 67
27941,  163,    95, 67
27963,  163,    96, 67
27983,  197,    96, 67
28004,  197,    96, 67
