millis	acc_0	acc_1	acc_2	gyr_0	gyr_1	gyr_2	mag_0	mag_1	mag_2	Longitude	Latitude	velN	velE	Throttle	Steering
11722	5	-23	-315	7	1	132	1884	612	-12381	nan	nan	nan	nan	137	208
11759	5	-22	-313	5	1	132	1930	645	-12368	nan	nan	nan	nan	124	192
11796	5	-22	-316	7	1	132	1907	590	-12241	nan	nan	nan	nan	120	179
11833	5	-22	-315	7	1	131	1907	645	-12394	nan	nan	nan	nan	111	169
11873	5	-22	-315	6	1	132	1953	657	-12381	nan	nan	nan	nan	116	179
11910	5	-22	-314	7	1	131	1895	668	-12394	nan	nan	nan	nan	116	182
11947	5	-22	-314	5	1	131	1930	701	-12330	nan	nan	nan	nan	128	198
11984	5	-22	-315	6	0	132	1930	701	-12356	nan	nan	nan	nan	131	203
12021	5	-21	-314	6	1	132	1942	634	-12343	nan	nan	nan	nan	129	198
12058	6	-22	-316	7	1	130	1884	724	-12406	nan	nan	nan	nan	121	185
12095	6	-23	-313	6	1	131	1873	668	-12394	nan	nan	nan	nan	112	171
12132	6	-21	-315	7	1	131	1930	623	-12356	nan	nan	nan	nan	105	165
12172	5	-21	-314	7	0	131	1964	679	-12356	nan	nan	nan	nan	107	171
12209	6	-23	-312	6	1	131	1930	657	-12304	nan	nan	nan	nan	120	187
12246	5	-22	-313	7	1	131	1919	645	-12419	nan	nan	nan	nan	127	199
12283	5	-22	-315	6	1	131	1919	645	-12406	nan	nan	nan	nan	132	204
12320	5	-22	-315	7	1	131	1907	668	-12445	nan	nan	nan	nan	124	192
12358	4	-22	-312	7	0	131	1942	701	-12330	nan	nan	nan	nan	120	181
12395	6	-23	-315	7	1	131	1907	679	-12356	nan	nan	nan	nan	107	168
12435	4	-22	-316	6	1	131	1919	634	-12394	nan	nan	nan	nan	111	175
12472	5	-22	-315	6	1	131	1884	623	-12343	nan	nan	nan	nan	108	171
12509	5	-22	-312	6	1	131	1953	634	-12406	nan	nan	nan	nan	122	189
12546	6	-21	-314	7	1	131	1907	668	-12431	nan	nan	nan	nan	129	201
12583	4	-23	-316	7	0	131	1907	679	-12368	nan	nan	nan	nan	129	201
12620	5	-22	-314	6	1	131	1930	668	-12419	nan	nan	nan	nan	116	184
12657	5	-21	-313	6	1	132	1930	701	-12431	nan	nan	nan	nan	109	169
12694	6	-21	-314	7	1	131	1953	668	-12356	nan	nan	nan	nan	102	161
12734	5	-22	-315	6	1	131	1976	645	-12330	nan	nan	nan	nan	109	172
12771	5	-23	-314	6	1	131	1953	735	-12406	nan	nan	nan	nan	115	179
12808	5	-23	-314	6	1	131	1895	713	-12419	nan	nan	nan	nan	120	190
12845	5	-22	-315	6	1	132	1907	668	-12292	nan	nan	nan	nan	131	203
12882	6	-21	-312	6	2	131	1988	724	-12304	nan	nan	nan	nan	128	198
12919	5	-22	-312	7	1	131	1988	713	-12343	nan	nan	nan	nan	114	179
12956	5	-22	-313	7	1	131	1919	645	-12381	nan	nan	nan	nan	113	171
12993	5	-22	-314	7	1	132	1976	645	-12445	nan	nan	nan	nan	107	167
13033	5	-22	-314	7	1	131	1873	634	-12330	nan	nan	nan	nan	119	183
13070	5	-22	-314	6	1	131	1930	690	-12356	nan	nan	nan	nan	116	184
13107	5	-23	-314	7	0	131	1930	690	-12394	nan	nan	nan	nan	122	194
13144	5	-22	-314	6	1	131	1895	645	-12356	nan	nan	nan	nan	131	202
13216	6	-21	-312	6	1	131	1919	645	-12394	nan	nan	nan	nan	108	199
13253	5	-22	-314	7	1	131	1964	601	-12330	nan	nan	nan	nan	117	185
13290	5	-23	-314	7	1	131	1895	601	-12356	nan	nan	nan	nan	125	194
13327	4	-23	-313	6	1	131	1907	668	-12406	nan	nan	nan	nan	128	202
13367	6	-21	-314	6	1	132	1919	690	-12318	nan	nan	nan	nan	125	199
13404	5	-21	-313	6	1	131	1919	645	-12330	nan	nan	nan	nan	135	207
13442	5	-22	-314	7	1	131	1895	612	-12304	nan	nan	nan	nan	133	201
13479	6	-23	-313	7	1	131	1953	612	-12431	nan	nan	nan	nan	122	187
13516	4	-22	-315	6	1	131	1919	645	-12318	nan	nan	nan	nan	110	170
13553	5	-21	-314	7	1	131	1930	634	-12381	nan	nan	nan	nan	113	174
13590	6	-22	-313	6	0	131	1964	679	-12368	nan	nan	nan	nan	118	186
13630	5	-23	-314	6	0	131	1907	724	-12394	nan	nan	nan	nan	120	189
13667	4	-22	-315	6	1	131	1861	690	-12394	nan	nan	nan	nan	128	201
13704	5	-22	-314	6	1	131	1942	679	-12394	nan	nan	nan	nan	126	199
13741	5	-22	-314	7	1	131	1964	657	-12304	nan	nan	nan	nan	128	195
13778	4	-22	-314	7	1	132	1988	679	-12431	nan	nan	nan	nan	109	171
13815	6	-22	-315	7	1	131	1930	634	-12318	nan	nan	nan	nan	103	162
13852	5	-22	-313	7	1	131	1884	701	-12343	nan	nan	nan	nan	114	177
13889	5	-22	-314	5	1	131	1999	668	-12394	nan	nan	nan	nan	118	188
13929	5	-22	-314	6	1	131	1942	623	-12356	nan	nan	nan	nan	119	191
